trial,msg_len,message_bits,digest_hex
76,75,101000101001110010011011011000100000110001111000100110111101111111110101111,0130162ab0cd09f0011a40d601004d1d916d04321d33c
77,94,0111110011111110110111010111101100011110100001110001001110101011100110000000010001000000100111,0b60c61960b50a727c01c35d0290313a911f00106400f
78,78,001011101011101000110110110010100011101101011001000100101110110000000001000000,2d007a06304d1d312c1b50dc00e31f0a10440c5007190
79,107,11110111101100100010000111110101101101000011111001101000001110110001111101011101111000101010100100010011000,3130cb0cb08209232507609000e0281cc0ca08b18a130
80,94,1011000110010001100010001011100001001001110110010011011100101101111111100010100011110100110101,0220bc0b907d2452b008f0e50c214516314b04b1850f5
81,98,11101001100100001110110001100010001011100011111011010000001001000101001100100101110000111110001010,06001b2552ea01c4c808406a1ef03401915101702a0a0
82,125,10000010011010000010000011101110101010101011001001000000000001011110101000001010100011001100011000100001001001100101101010011,1830001212440800430392113ab00128600603a18500f
83,78,100001110101111011010011011000101110011011101110101000000101010100110100010001,32c01e01312c16213d0c405e0043220880f61c70630e1
84,95,11110010001101111101001101000100101001000000100011101010010001111000000010101110011010001101101,0010860fa16d28d0131ad1463cf0f90010490f103713c
85,102,101001111110100110110101111110001100110111111110001010001011101100110001000000110001001000011000100100,0343de0214310f21d303d0ed0110e803d0960840740e2
86,77,11101100010010100110110101001101011111110110110001111010001000011111101110011,20c2440580f207509b00708d1c516115922e097141034
87,75,101001100101110010101011000000110001000101000010001011111011001110010110100,0f70f31c828106b0812d80990980600590822a40d0022
88,88,1101111111000111000100101100000001011010101110111100111111000111011100011100101011101110,0430020a336a0cd2160621fd0c5019003185256031177
89,127,0011001101110111100000011110000011101100101001000010011010111001100010111011011110110101100010101101100100110001011111000110011,16303e0d11fc2981e31903a609305800404e00308c00e
90,86,11101110110101110010111101011101111111110001100100010010011000110110011100000011110101,2066461980571a30490f711009a03902605705c018007
91,110,01100101010010100100111111101010111100011000101100101111100011001011000100101000001011110011011100000000000111,0390860e00d401e0ed2aa17a0d32a60b512a1850e8090
92,100,0101000011001111111010010110011101000011010100111100110010010010110110100111110011001001011111101100,2340b20110ea2960421621a308c0c60911a9208032073
93,81,001000010100101110000010100100111111101000101011101010111101010111101111101110110,0a512703411126a4001470eb0820f60710ec104019058
94,69,010110001000011000101100010000010001000111110001111000110011110011111,1340d60642e50070db0ff14102022d2cd0111310610c7
95,83,01101001100110101011111111111101010101101011000001100010000101110101101110100101000,1230700d504c19d0172281132600cc1af04f0d002f22d
96,107,10101010011011001111111011011000000000101011101001001010000000001111001010011100101011010011000111000001001,13a1680270680cd2d920b18003b01a10b0e20141781ca
97,116,10011010001010011000001011111001011100000001110010011100010000011101101010001010100000010001010100100101000001101110,19502404e20415542a0e20a313405608a0590320ec15f
98,113,01100011000010010110111000001100001001000101101101001000011010011001101110111001011011011010010001010000010111011,22c04c14e00c06c05602009a0a009430c1550f52561cb
99,124,1010111001100010010101110001000111110000000011100110001010111011000001111110100010110001010111101000111001110001010010010100,02e1501542be04c11a14c10d09b0a410214a00d0fe215
100,89,00100100110001010010011011101011010011111010000011001011011101101100101011110011011001101,07d12f1ef4190110300ad27e02c09302006a03215e202
101,128,00100010110000111111101010110111011001001000001110010101110010101011100010100100111111000110101111100100011111110101111110011011,0120a21ce0f317905a0420d10fa08514403b0181974f1
102,104,01001100011001000100000000010111110001111000010110101101010000011100100000101001100101010110011011010101,0be0357670a00451a403115609b00d00f12a01614804f
103,114,111110001100111000111001101101110101011000111000110011010001101111000000100001101110111010011011100111111010101000,00724f06d0bb0d30730410690c526719a0650b9040466
104,77,10111000001000000111110000000111001000011001110111010011000010101111111011010,0dc0b008202012c0bb1090380db0a52421c43900b90d3
105,121,1110010101111000111010001011110011110000111101000111100101000011110001001110110110001011011100100101000000011000011011010,19c08f03c0d60071351a42e021f09514a0b2001119131
106,103,1011001001011111110101000100111011010010001001101011101100101011000110110101000001010010010101001110010,1fe0800570dc24f22c05e0a410407e04324215b0700f9
107,79,0100000000110000010100000001101000011111000101100100010101101001011001000010111,06e0e90052811560821970c53190db00217f0551580c6
108,128,10010101101001110001011010001111111001111111011110011001010011110111010110111110110001011011110000101101010001010011000100100100,03f5300fa1ed01a0a01d201e00e2350e103c04f009140
109,69,111100001011011000110100000001011101001010111110001111011001011111110,01524c2200271030f607a1950c40e70632ff06e05f170
110,124,1100100101001011010100010100100110110111001100110011111000011000000101001100001000000100110010100101100010111001101011000001,11c05d1613c70e00da0772510051750370141bc0a50ad
111,93,000101011001101110111010000110001001100011000010101010001001110000111101111000100001110001100,0af08b25b0470760773890781a60d708c15706214012d
112,84,101001110011011101100100011111000001001011110101110111010010011000010101110010110000,10027a0d60b50830270c412147a00807805610b196073
113,90,110100110010000110000011100000010011100001111001111001010001001001110101011001111100101000,1cc0450590410fd0493ed0740fe0420ab01a1751e7245
114,104,00101101001000100100011101110101100101101100001110111011010111101010010110011011011011100011011000101110,30214a2180a603d0ef11e19210c1230c502a0b30d1070
115,100,0001100110011011011000011110100011011011011100100010100010011001000100011100011011101000110011000010,06300208d0f93161d70900a02e80e417602221b03b035
116,109,1110011101001000011101101111111101101111011010011101011101010101101010001110100001111100100101111001101101111,2fd2e210d1621201741290b60390e600f06d09d0170ec
117,121,1011110001101001011000011111111100100001101111001111101000101110101100011010100100101000100100000100101011010101110111101,0f11c80012bd1be0e30e406f26e02e01304204f0fb252
118,118,0110000111101100111000110011111111011010000110111111110101111111101111100011110111101110000000011010100000001100111011,10c11b0732480b71c600b10a00c03c20203625614a164
119,83,10011100111110000010101100011110101111110010001111110110011001111110010100001110100,01a0913450bf06d01415413a36a0ba04429e06800c0bf
120,74,00001100011000000111000000001110011101111011000101100110101110011101101011,1ca0e11a002a14d1a000905302901520c2d01860ea0b2
121,100,0111010111111110010100110010011111100011010100001001011110111100110000011101110001010100111000100100,0ae36111002d0300042950360c90730460d91ac00c39a
122,74,10001100010001110000110101101100100111010110111010001110100111011100111101,11112201219b0c308a02431326a11c00912303801129a
123,87,110001110100011110101011110011010100111110111101101011010110000000000110101001010001011,14c2570a30dd21d04f1921e808f04a03b0320981501c2
124,117,111001010000110010110000010110101111000101011001000100100000001011110100100000110101110001001100001010110000101001110,34a11203a12f15b07a37c19a0200140b615e02e0a702e
125,99,101101101000011101000011001001011000010010010001010110000010100001001101000101010010111011011111101,04c06006f1b50d30b007c12327812c0a834f0fe16300b
126,76,0101000101000010101100101111110100111001010100111101010001101111001010011110,1c31df04548a0e809101210a01913d16e0730680650ef
127,118,0010101000011010110100010000110000100110010011100011010010001001001110100000000110111000001011010111000001001001110100,0d922a19d0640423a61041010850b40d20d306e0f70c5
128,75,100000001111110101001001001100100010000100011100001101101000110100011011101,35b0ad11c1450690000160711781ac18c0a211d1ea049
129,81,001111111111001011110011010111001100101000110010110010101011011100011001100111100,3790c904a02f1640bb1870d403634e02b0d704708d168
130,68,00001010011100010001111110100001111011011111101001010000101101001110,0d901b44703c07c11105307a18f1a006f10a03200b342
131,72,111010000101010001011010001100101101010110011000110000111000010101000111,02703f15908a0cc08908f2202f40230002a41fe13e0b4
132,121,0000001000111000100000110011110000001110011110100100000001010100011111001101101101111111000011001010000100001111001110110,0531310d804300e07f46f14400d10c12f00d1bb2280e1
133,74,10110010100111111100111111000110000001100111101111001000100110110010010000,0700e80060a71ea16103603211a11e38416c0130e921d
134,88,0111000111110011001111110010010000111110000100001000010000010000010110101000110111010001,0f243c1a71121f60421091620140840af08803b0e307f
135,110,11001100101100100011010000110111000000011101111111111010111010001001101010111110000101001110110110001111010100,0e917921a3bd12f0b807a04606d03804919604a22002a
136,70,0010101000110011001000010001000110000110001100000010011111000111101111,0be1f01cb0420662831050bb07117e23a0610350181bc
137,78,100001101001011101011000000110011111111011001111100001100111011111000110000110,07502c04b5741140550e90e20e21e715d054071063115
138,92,11000011100011010101100001110100101001110000100001111001010000100001110000111001010111011100,1b40134610ed0e11950cc0c90090a909c23b07f0ad023
139,118,0000000000000000101111111010011001101000100001010000101100100000111001001010010100111111011010001000001101101101001001,0a31f31670390d802b14c11f1c70ca0081d72be0be067
140,110,00001100110100111101001001110101111001100001001001011101101110100000110011100001011100001101101111011011001100,0df1d518b01a2dd0630503490700dc0552220120f3000
141,123,000010111111101000110100010010110110000001000100000110000010001100111110100000001101011101011000111111010110101001010000011,12317e17403e1a50196341a102902401902d09e05a088
142,102,011110011111000110111111001011101011110010011110110011000001100011001110111010111101001101101101111111,0c204c01a30303b0483ab12c0551a425803b0780a70c9
143,110,11111100110100001100010000110010110110111111101011011011101101110110011011011000101000110111011110111101011101,0511d22a60910880901600b108e0a708304f0ab2062bd
144,64,1101100001110111001101110101001111110101001010011111010000010110,4d404401817038b1d908805802a0230110a40c40770d8
145,70,1101010100000001110000010011001010000001101100001000000001111100010110,2ff00b19c3d900d10c1180390eb15509c0a60500570e6
146,103,0010100100100011101011011110100001000111101110010000010101011101000111100001111110111111001100110100111,0200520ef16b1db15804402d10f2d007210427e0db0db
147,78,011101011001001101000011000011010010100111100010101010101111101011100001100010,0d40dd0900ec0ed2283710d107402117420d06e04c0a5
148,115,0100011001000101010110000011111000100100000010100011010011000101100101110000101111101100100111111111111011111000000,3bd0bd0ac23d07d2590f41670280280f80c20a402e087
149,76,0110111010001011100010101111101110011100011100110100111111110101111000011100,2101360d80f03680b10ca03510600c0300aa1b40f613b
150,113,10111001100100101100111001011010001110101001010010101100110000001101111110011010011011001100011100000100011001011,0dc3e50d904808c01709926d02800a17803e08b3070f3
151,65,10010001000111110010000101001000110110110001101001100001100101000,1b44041430c40c80111fa08c04e1f30660ff03d03c0bb
152,69,010111100101100000110111101000010110111000111010110001100001010110010,0f600433c01505c0203951902280481c507c0580c3042
153,79,1011000001000000111110010110111000011011001111110110110011101000110000010001001,03f0ab29b42a0060d22660cb0cc0fa0ce06d06404f08b
154,95,01110011111111110100010000001011111101011110010001010000111011111100110011011110010001101001100,01511507502514110a1260590030fa13b4590510b72d1
155,117,000010000000111010101000100100000010101000111101111000111100011110111110101110011011101011010101000100000111110101010,01c09a0b20ad01e1811b33ef0131d80871c20e404014c
156,78,010001111010000011001010110010000100111101011110010110111000000001110110101010,3990432180ba0950b20fc1ea0a607611a09306a1b6034
157,125,10000011111010100011101101100011110000111101011110111001010101010101110000110101010000110011011110010010100001111001011111110,1641581870f91ca0e502020a05621e1930660df04a04e
158,71,10101111000011001111000000101111100110000101110001100111110010110001111,0600df38f01426505f08b0270631eb07c0b21330332be
159,128,00111000010011011101111011101110011000000010100001001100011001111100110010100100011000001001011100001100101110100011001110001001,03c00f1563880470a503e17d0620731c120f0f527101d
160,98,01100000011101111011101110011011001111001101000011011101001001100011100001011011000011011010001100,08f04101b0190e60ab0d606546629203a0ee174024270
161,88,1101111110010110101101001100001011101000111110011010111110111001010110111110001110110001,02222a06d3773170c600d06700706205306500f1bc28d
162,101,00101000101000001010011001001100001100001011101100011000011011110101001100010111110101010011001010111,0151fa22b1410b20be0aa0ab1e003d0b805332801f149
163,72,000001100101000010101010010101101001110001111011100011101001100100111111,0fe0b12040bb2630c821300832705200718906401f0b9
164,121,1011001110111101000010000110011010010000100001101001011100110010011111010011110000000110000111000111111000010001100111111,10b08713324864706003a0e206005f080047137033039
165,126,010010010101111011111101011100011000000000111101100011010101010101110100001011010011101001000010101101110110011000111000100110,1940150750d02ff27311e0d000108f04918c1701240b3
166,65,01110011011010101100111111101010011110100011101000000100100011000,07d0e90221720b908936211e16a0f902f04b20204d212
167,115,1001010111110110011101111001000001000110001001100011010010101001011010110101101101101100001001111101100001101101111,2850db07e2572402150eb0430480b102c1770860c0061
168,65,10110000100010000000010111110100110110111110101011010001011000010,3050963e91250f601f0361160920eb1c0114072024005
169,90,111111000111101010011110111001011110010011010010101110011110111100010000110111010101011011,0260800352f138513b2560dd0320740910c01060ef04e
170,91,0111110000110100111011000100001100010100101101110011011110100101000100001000001000111101101,0033692cb1ea02f00812e0e61e011213603204c0df004
171,113,10110110001101111111101110100001111010101111101001000110100001001011110010011011001000110010101110010110011100000,0c40580832330c343e00103006413503f0a71420902a2
172,84,101101011010100110110110110111100001101100010100000100010110110101100000110111101111,2f50ef0a605b0480c609315001111b0b82390f616b1a6
173,71,11001001011000001111001100000010010011101010000100100101000010110110100,0952544482d30380b50ce04700b08e0ac0110a7075181
174,87,001000111111111011011111111000111111101011000011111000000011111000111101111000001011111,02e0780260710760a206a0db11d00d07324132a53901d
175,82,0010100111000001110001100011110100110100101111101011101011100011110000110100000110,2c907604d04116012401810810906a0624810400d411e
176,93,001100101111011111100101001110011111000101001011101101000110011100011101100111001100010011000,0402180051e62ea0584721b407001600d08303408f075
177,72,010101111011001011011010011000001000111011111111110101011101100111001110,0ff0180102162100022f710e05e0ea18911c05511d149
178,92,01100100011101101011111100101101001000100010011100000101101100100000111111000111000010110100,1a902409611707f3ce1ee0db12c05f1b913500e0be023
179,112,1010000111101011110110110101001110101011001101010011000010100100001100000010110000010011110000000010011000001101,0191b52440d42e503002a00d2db15508b1ca0230640ba
180,119,00100010101000011000001010111110001110100100110000111100010011000001000000100100000101010001100010100100010011001001101,0511fb04e01d1340bf1c711e0290f505403d65903502b
181,107,10111100010000110101100111001110011101111101111011111001101001000000000110010011010011101101001110101001001,11209c05620001f2bf3b90b013d044173074019024109
182,83,10001001100010001010011110100111101001100000010101001011001011111010101110011110111,0a31eb22a47e0b202c1092090360300361490140300ab
183,67,0001111111101111011001110111000110110110000001101011101110100000011,1160521f705f28428417f11c1540001ef00d0f404600c
184,89,11001011000101011010010001000011101000100101101100001011100001010011110010111000010101010,05d2251731240e606210220914818811300823700a061
185,120,000010110011010011010100101101010111001110011000010100111101011100011110110101001100000011101101100000001000110100111101,1751370e91d507404210c1710160531fb200051152153
186,104,00100101100011001111011011100010000111011111011101111011000001101010001101000111110000001011101111101011,1cc0b60111f905705901718e15c17c22a13a00126b071
187,68,10001010100111110011100110101011010001100010000110110001000101100000,1b825904201902a07b08f0ee07c01f0151f73da0e3207
188,81,000110000101110101110100011111000100010001110010001101011001011010101010101000101,06c07901e0a804f24d27210a0800ea40b11a05a0b8095
189,117,011011010010001110000101001100011111001001101100101000010001111111011110010110010001000100010001001110101001100110110,34c00a2360a11300650ea0e50681880331cb13409f0a8
190,79,0000000000110110011000000000110111000011001010000100000111000011000010101101010,04b0100f70ab05825c0551a603401e2f21710640a1393
191,112,1101011000111010000100001000111000001111100001011010000011111101100110000100111101110010111111100000010111001010,2f011f13e0d91b70d011408c0e00230a11f600302c1e2
192,113,01001001001010000111101000101001001001101000100110101001111011100110000111101000000001101100010011100001010110110,05817015712d1aa0080ac16215020c03414f0df00b224
193,83,11000110010111110111011001110010110110001000001101101101011010010010101001101100010,32304b0050820f814b2ee1a41050f701f17901c14303d
194,101,10011010001111001011011010011011110100001110100010111010110010111101100000010001001001111010010010101,00420403c3ec1ad1c20771850b501602d0f40420421ed
195,72,001010111011101110110110110100111101000110111100111010000010001111000010,0cb0d004602e09f02f02508e0270485cc0f006b2222b1
196,118,0010111011011011011001011100010001110000010011010100100011010100000001001011111011100010100111111011111011011110110101,1fe0d41510d211e0a51b901109f25b0060523190cb041
197,113,11001010110001010110001111100111101100100010000010011110000101111101110110100110001010100011001000100011100010100,0780bc1621ce2b30ae0d40de1ac0040b914319b0fe03d
198,83,11101101100010010001001010111001001111100110001100100011001100100100100101111010001,21310200809d01a0ff01b1770aa1d72f416a0ff13a07d
199,121,1101100010110000010111101100110101101011100110111000000001001110011011111011000010111111010010011111110110011101110100100,07501c0c30bd00e0150e03e63dc03813303223604410b
200,67,0011100110101000011101001100110110111011110011111001001010000110011,4160601035610b40160471350250140b207708008906c
201,122,01010011100000000011011001000000000100100100001111101111001011010001011000111000001110000011110001100001110000101010001111,0280e116e0b702905f23c0a90b005b03068c0fe00f08a
202,116,01011101100111001011101101101011000110100110110100101101010100000111010011011001010010001110100010100110001000001101,38020a0030520ce04204f01a20c0e30b912d2d30f9000
203,67,1000111000001100011100100001010011111111000001100101101001111010010,0f70e51f609449f06208c0d420207e07b076177012036
204,91,0011101101011101111000000100110100010110101010011000110101001000110110100100001111000101011,04a19d04424e3f709318204a0560c90732b805a063022
205,91,0001101111001011100110111111101010000111111010111101100111100100001000011001111100001111001,0a208d28e11d00721200621a1f02270ba03107116f003
206,94,1101100000100000011011110110100001110010110110110011001000000001010011010001110011110111011101,0a412706b07c07100b0a12af05223041209c00d0a5198
207,110,01001000100101111111111010000010000010001000000101100010000001001001010000011011110011101010011000010011011101,09800225630f18d13b0730540db1800bb1e80e0054039
208,121,1101111011111011000010100101100110100100110110010101101110011000111000100001111000110110110011101101001011111111000111000,11706d02c1fc1981ae0530c710924a1131a4002059188
209,99,101011011100001110111110010010100000010010000110100000010000000000001100011100011010001011010100110,0190550021f20370de22d08704500712042531600e119
210,121,0110110000011001100000000000100110001001100111101110001101110001100110011110110000010111000100110100010010001110111110010,0120540961090981492b410916006202d2791212180b4
211,105,101010010001000100101010110000101011111110111100000011100101110110010101000001000111010101101011110010001,42209c0d30c504404c08207e10d01213f0564780010e7
212,80,00011110100001010000011101101110000000100001111011011100001010010000111101001011,04109f03812600d03f01b0bc04e1700cc1051b73b739a
213,91,0111100101110101010001000000111101010001010011111011001010000001100111100011111100010101101,15329f0421880ba0461081ec0da05b00416d2930e0031
214,125,00110101100100000111001110010111011110111010110000011010100001111100111001011011010001111010111111011110000011111110111100000,10f24f01819c1580271bb14a05b0b01dc01d2310850a8
215,114,011100111000110011101010011010001011000011001100111000101100011110001001011110111000101011010000111100101111110011,31807c3cb00c0351ee0af03316304929900302e06b0a7
216,112,0110010001010010111001000001011010001111011000001011010011011110001111100101011111101100011010100000100100101010,17313b2ed02b01b2c11190371f90000f300b0b40c4196
217,122,11001001001111001101101001001001010101110010111011010001111100010001110010110100110110110010111001011110001111010000100110,1f20320c32200dc00207f2940a00271100280b6207246
218,90,110000101011011100101100100100000010101010110100011111110100100110000010101101011111001101,41f05d01b1300400110f415611f02e07e0d504412d385
219,68,01111010110101001101111011111111110010110000110001101010110110001001,01e1b504134e15f0e90180c413645202f05308201e0c9
